game_id;nome_jogo;preco;tamanho;dev_id;data_lanc;categoria;quant_downloads;descricao;capa
730;Counter-Strike: Global Offensive;0.00;15.0;1001;2012-8-21;FPS;500000000;O Counter-Strike: Global Offensive (CS:GO) melhora a jogabilidade de ação baseada em equipes na qual foi pioneiro quando lançado há 19 anos. O CS:GO contém novos mapas, personagens e armas, além de contar com versões atualizadas de conteúdos do CS clássico (como de_dust2).;capa-url
1245620;Elden Ring;249.90;60.0;1002;2022-2-24;RPG;25000000;O NOVO RPG DE AÇÃO E FANTASIA. Levante-se, Maculado, e seja guiado pela graça para portar o poder do Anel Prístino e se tornar um Lorde Prístino nas Terras Intermédias.;capa-url
1174180;Red Dead Redemption 2;299.90;150.0;1003;2019-12-5;Velho Oeste;17000000;Red Dead Redemption 2: a épica aventura de mundo aberto da Rockstar Games aclamada pela crítica e o jogo mais bem avaliado desta geração de consoles, agora chega aprimorado para PC com conteúdos inéditos no Modo História, melhorias visuais e muito mais.;capa-url
70;Half-Life;20.69;1.0;1001;1998-11-8;FPS;6000000;Premiado como "Jogo do Ano" por cerca de 50 publicações, o título de estreia da Valve combina ação e aventura com uma tecnologia premiada para criar um mundo assustadoramente realístico onde os jogadores devem pensar para sobreviver. Também inclui um emocionante modo multijogador que lhe permite jogar contra amigos e inimigos pelo mundo.;capa-url
220;Half-Life 2;32.99;6.5;1001;2004-11-16;FPS;12500000;O jogador novamente pega o pé de cabra do cientista pesquisador Gordon Freeman, que se encontra numa Terra invadida por aliens, com seus recursos esgotados, com sua população se encolhendo. Freeman é enviado ao nada invejável papel de resgatar o mundo dos males que ele liberou tempo atrás, em Black Mesa. E muitas pessoas com as quais ele se importa estão contando com ele.;capa-url
400;Portal;32.99;7.0;1001;2007-10-10;Quebra-Cabeça;9000000;Portal™ é um novo jogo para um jogador da Valve. Estabelecido nos misteriosos Laboratórios Aperture Science, Portal é aclamado como um dos novos jogos mais inovadores no horizonte e oferecerá aos jogadores horas de jogabilidade única.;capa-url
620;Portal 2;32.99;8.0;1001;2011-4-19;Quebra-Cabeça;14000000;A parte para um jogador de Portal 2 introduz uma gama de novos personagens dinâmicos, vários novos elementos de quebra-cabeças e uma quantidade maior de desafiadoras câmaras de teste. Os jogadores explorarão áreas nunca antes vistas dos Laboratórios da Aperture Science e reencontrarão GLaDOS, a companheira robótica com certa tendência assassina que os guiou no primeiro jogo.;capa-url
570940;Dark Souls: Remastered;172.45;8.0;1002;2018-5-23;RPG;3000000;Mas então, fez-se o fogo. Experimente novamente o jogo aclamado pela crítica e definidor de gênero que foi o início tudo. Belamente remasterizado, volte a Lordran com detalhes em alta definição a 60fps.;capa-url
335300;Dark Souls II: Scholar of the First Sin;172.45;23.0;1002;2015-4-1;RPG;6000000;DARK SOULS™ II: Scholar of the First Sin leva a renomada obscuridade e jogabilidade viciante da franquia a um novo nível. Junte-se à jornada sombria e vivencie encontros com inimigos devastadores, perigos diabólicos e o desafio implacável.;capa-url
374320;Dark Souls III;257.90;25.0;1002;2016-4-11;RPG;22000000;DARK SOULS™ continua a ultrapassar seus próprios limites em um ambicioso novo capítulo da série que definiu um gênero e que é aclamada pela crítica. Prepare-se para abraçar a escuridão!;capa-url
271590;Grand Theft Auto V;109.89;72.0;1003;2015-4-14;Ação;95000000;Grand Theft Auto V para PC oferece aos jogadores a opção de explorar o gigantesco e premiado mundo de Los Santos e Blaine County em resoluções de até 4K e além, assim como a chance de experimentar o jogo rodando a 60 FPS (quadros por segundo).;capa-url
391540;Undertale;19.99;0.2;1004;2015-9-15;RPG;12500000;UNDERTALE! The RPG game where you don't have to destroy anyone.;capa-url
1671210;Deltarune;0.00;0.2;1004;2021-10-21;RPG;3000000;UNDERTALE's parallel story, DELTARUNE. Meet new and old characters in a tale that steps closer to its end, chapter by chapter. Dodge bullets in nonviolent RPG battles as you listen to funky, funky music. Try Chapter 1 and 2 for free... now!!! More chapters in development!!!;capa-url
1593500;God of War;199.90;70.0;1005;2022-1-14;Ação;5000000;Com a vingança contra os deuses do Olimpo em um passado distante, Kratos agora vive como um mortal no reino dos deuses e monstros nórdicos. É nesse mundo duro e implacável que ele deve lutar para sobreviver... e ensinar seu filho a fazer o mesmo.;capa-url
1091500;Cyberpunk 2077;199.90;70.0;1006;2020-12-9;RPG;24000000;Cyberpunk 2077 é um RPG de ação e aventura em mundo aberto que se passa em Night City, uma megalópole perigosa onde todos são obcecados por poder, glamour e alterações corporais.;capa-url
20900;The Witcher: Enhanced Edition;16.99;15.0;1006;2008-9-16;RPG;5000000;Torne-se o bruxo Geralt de Rívia, um lendário caçador de monstros envolto em uma teia de intrigas tecida por forças que lutam pelo controle do mundo. Tome decisões difíceis e viva com as consequências em um jogo que fará você mergulhar em uma história extraordinária e inigualável.;capa-url
20920;The Witcher 2: Assassins of Kings Enhanced Edition;36.99;25.0;1006;2011-5-17;RPG;5500000;Chegou uma era de caos inenarrável. Forças poderosas se enfrentam nos bastidores, em uma luta por poder e influência. Os Reinos do Norte se mobilizam para a guerra. Porém, exércitos em marcha não bastam para deter uma conspiração sangrenta...;capa-url
292030;The Withcer 3: Wild Hunt;79.99;50.0;1006;2015-5-18;RPG;45000000;Você é Geralt de Rívia, mercenário matador de monstros. Você está em um continente devastado pela guerra e infestado de monstros para você explorar à vontade. Sua tarefa é encontrar Ciri, a Criança da Profecia — uma arma viva que pode alterar a forma do mundo.;capa-url
322170;Geometry Dash;8.39;0.1;1007;2014-12-22;Plataforma;14000000;Pule e voe através de perigos neste jogo de plataforma de ação baseado em ritmo!;capa-url
